Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jarrell Brantley,PF,23,UTA,2,0,9,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,4,4,1,0,2,1,1,0
Ignas Brazdeikis,SF,21,NYK,7,0,47,5,20,.250,1,8,.125,4,12,.333,.275,3,4,.750,2,3,5,2,0,1,2,3,14
Mikal Bridges,SF,23,PHO,24,0,506,62,124,.500,12,40,.300,50,84,.595,.548,34,44,.773,21,67,88,26,32,8,20,44,170
Miles Bridges,SF,21,CHO,27,27,838,134,305,.439,47,120,.392,87,185,.470,.516,34,46,.739,35,105,140,49,13,21,44,56,349
Oshae Brissett,SF,21,TOR,4,0,17,1,3,.333,1,1,1.000,0,2,.000,.500,0,0,NA,0,1,1,1,1,0,1,0,3
Ryan Broekhoff,SG,29,DAL,5,0,27,4,8,.500,4,5,.800,0,3,.000,.750,0,0,NA,0,6,6,3,1,0,2,1,12
Malcolm Brogdon,PG,27,IND,21,21,664,145,304,.477,32,90,.356,113,214,.528,.530,88,93,.946,12,83,95,157,21,4,59,43,410
Dillon Brooks,SG,24,MEM,24,24,659,121,299,.405,40,112,.357,81,187,.433,.472,50,61,.820,25,58,83,46,27,8,31,89,332
Bruce Brown,SG,23,DET,25,21,655,73,173,.422,13,40,.325,60,133,.451,.460,25,43,.581,23,82,105,90,24,12,43,67,184
Charlie Brown,SG,22,ATL,4,0,16,1,3,.333,1,1,1.000,0,2,.000,.500,4,4,1.000,2,1,3,0,0,1,0,0,7
Jaylen Brown,SF,23,BOS,21,21,709,154,308,.500,40,107,.374,114,201,.567,.565,58,79,.734,21,124,145,47,23,7,38,71,406
Moses Brown,C,20,POR,4,0,15,3,7,.429,0,0,NA,3,7,.429,.429,2,4,.500,2,7,9,0,1,0,1,4,8
Sterling Brown,SF,24,MIL,17,0,283,34,82,.415,17,43,.395,17,39,.436,.518,12,17,.706,11,70,81,25,12,2,16,23,97
