Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jalen Brunson,PG,23,DAL,23,3,360,68,137,.496,14,43,.326,54,94,.574,.547,22,31,.710,13,41,54,59,11,0,20,26,172
Thomas Bryant,C,22,WAS,18,18,511,101,184,.549,10,35,.286,91,149,.611,.576,39,53,.736,42,111,153,48,8,18,24,44,251
Trey Burke,PG,27,PHI,9,0,152,25,58,.431,6,16,.375,19,42,.452,.483,8,11,.727,6,7,13,31,7,1,4,7,64
Alec Burks,SG,28,GSW,22,10,643,110,262,.420,32,90,.356,78,172,.453,.481,80,90,.889,15,84,99,65,24,6,32,48,332
Deonte Burton,SG,26,OKC,12,0,101,13,33,.394,5,17,.294,8,16,.500,.470,3,4,.750,3,18,21,4,1,1,4,11,34
Jimmy Butler,SF,30,MIA,20,20,702,119,276,.431,21,69,.304,98,207,.473,.469,153,185,.827,41,96,137,139,42,15,52,27,412
Bruno Caboclo,SF,24,MEM,15,0,160,26,59,.441,4,20,.200,22,39,.564,.475,2,3,.667,14,21,35,8,7,11,7,17,58
Kentavious Caldwell-Pope,SG,26,LAL,24,14,576,72,160,.450,27,71,.380,45,89,.506,.534,20,24,.833,11,40,51,42,18,4,20,40,191
Vlatko Čančar,SF,22,DEN,1,0,2,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0
Clint Capela,C,25,HOU,19,19,620,122,189,.646,0,0,NA,122,189,.646,.646,28,60,.467,82,199,281,19,16,35,34,55,272
DeMarre Carroll,SF,33,SAS,11,0,120,7,25,.280,3,12,.250,4,13,.308,.340,10,14,.714,7,22,29,10,2,2,9,17,27
Jevon Carter,PG,24,PHO,16,2,225,22,55,.400,14,34,.412,8,21,.381,.527,4,4,1.000,3,24,27,28,13,5,15,24,62
Vince Carter,SF,43,ATL,19,0,301,42,112,.375,22,77,.286,20,35,.571,.473,6,8,.750,4,33,37,18,6,6,13,33,112
Wendell Carter,C,20,CHI,25,25,749,117,206,.568,2,15,.133,115,191,.602,.573,69,98,.704,88,157,245,24,18,20,38,103,305
