,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
110,Anthony Davis,PF,26,LAL,23,23,791,222,438,0.507,25,75,0.33299999999999996,197,363,0.5429999999999999,0.535,167,192,0.87,56,152,208,75,35,61,52,53,636
111,Ed Davis,C,30,UTA,12,0,147,9,20,0.45,0,0,0.0,9,20,0.45,0.45,3,6,0.5,14,40,54,5,5,6,9,28,21
112,Terence Davis,SG,22,TOR,23,0,360,55,113,0.48700000000000004,25,60,0.41700000000000004,30,53,0.5660000000000001,0.597,14,15,0.9329999999999999,14,54,68,43,10,6,18,42,149
113,Dewayne Dedmon,C,30,SAC,21,4,305,42,103,0.408,11,48,0.22899999999999998,31,55,0.564,0.461,11,13,0.846,26,59,85,8,9,11,31,55,106
114,Matthew Dellavedova,PG,29,CLE,21,0,275,18,65,0.27699999999999997,4,37,0.10800000000000001,14,28,0.5,0.308,12,13,0.9229999999999999,6,23,29,46,8,1,15,30,52
115,DeMar DeRozan,SF,30,SAS,23,23,787,189,372,0.508,5,14,0.35700000000000004,184,358,0.514,0.515,109,134,0.813,12,118,130,111,22,11,59,66,492
116,Cheick Diallo,C,23,PHO,17,0,174,41,59,0.695,1,1,1.0,40,58,0.69,0.703,15,17,0.882,14,38,52,9,2,4,8,20,98
117,Hamidou Diallo,SF,21,OKC,12,1,256,46,92,0.5,2,13,0.154,44,79,0.557,0.511,11,18,0.611,14,32,46,10,18,4,14,29,105
118,Gorgui Dieng,C,30,MIN,19,2,237,34,79,0.43,8,27,0.29600000000000004,26,52,0.5,0.48100000000000004,12,16,0.75,16,60,76,20,13,20,13,26,88
119,Spencer Dinwiddie,SG,26,BRK,23,12,684,156,366,0.426,43,138,0.312,113,228,0.496,0.485,119,140,0.85,5,62,67,142,20,11,62,79,474
120,Donte DiVincenzo,SG,23,MIL,21,10,441,69,160,0.431,28,79,0.354,41,81,0.506,0.519,20,26,0.769,18,70,88,32,32,3,23,35,186
121,Luka Dončić,PG,20,DAL,23,23,769,222,466,0.47600000000000003,70,219,0.32,152,247,0.615,0.552,175,215,0.8140000000000001,31,195,226,211,30,3,105,55,689
122,Luguentz Dort,SG,20,OKC,3,0,56,4,11,0.364,0,6,0.0,4,5,0.8,0.364,3,5,0.6,0,6,6,0,1,0,2,10,11
123,Damyean Dotson,SG,25,NYK,19,0,296,44,107,0.41100000000000003,19,62,0.306,25,45,0.556,0.5,10,13,0.769,3,27,30,19,9,4,11,18,117
124,Sekou Doumbouya,SF,19,DET,4,0,11,3,6,0.5,0,1,0.0,3,5,0.6,0.5,0,1,0.0,0,2,2,0,0,0,0,3,6
125,Goran Dragić,PG,33,MIA,18,1,517,97,208,0.466,39,96,0.406,58,112,0.518,0.56,54,76,0.711,6,52,58,90,12,4,47,32,287
126,Andre Drummond,C,26,DET,24,24,811,175,325,0.5379999999999999,0,12,0.0,175,313,0.5589999999999999,0.5379999999999999,69,108,0.639,113,288,401,72,40,45,87,92,419
127,Jared Dudley,SF,34,LAL,15,0,100,5,11,0.455,5,8,0.625,0,3,0.0,0.682,2,2,1.0,2,10,12,9,5,1,2,8,17
128,Kris Dunn,PG,25,CHI,25,6,542,72,171,0.42100000000000004,11,57,0.193,61,114,0.535,0.45299999999999996,13,18,0.722,14,66,80,73,48,7,26,89,168
129,Carsen Edwards,SG,21,BOS,20,0,228,26,82,0.317,16,49,0.327,10,33,0.303,0.415,11,13,0.846,5,30,35,17,7,2,12,22,79
130,Henry Ellenson,PF,23,BRK,1,0,3,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
131,Wayne Ellington,SG,32,NYK,18,1,257,26,81,0.321,21,69,0.304,5,12,0.41700000000000004,0.451,4,6,0.667,1,28,29,16,5,2,12,20,77
132,Joel Embiid,C,25,PHI,19,19,577,133,290,0.45899999999999996,21,67,0.313,112,223,0.502,0.495,130,161,0.807,48,189,237,56,17,26,64,66,417
133,James Ennis,SF,29,PHI,24,0,420,60,121,0.496,22,52,0.423,38,69,0.551,0.5870000000000001,36,46,0.7829999999999999,27,56,83,22,13,7,15,46,178
134,Drew Eubanks,PF,22,SAS,4,0,31,5,10,0.5,0,0,0.0,5,10,0.5,0.5,1,1,1.0,5,8,13,2,0,1,4,4,11
135,Jacob Evans,SG,22,GSW,4,0,54,6,16,0.375,4,8,0.5,2,8,0.25,0.5,4,4,1.0,1,5,6,3,0,0,2,4,20
136,Dante Exum,SG,24,UTA,11,0,83,10,23,0.435,2,6,0.33299999999999996,8,17,0.47100000000000003,0.478,2,2,1.0,3,9,12,7,1,2,10,8,24
137,Tacko Fall,C,24,BOS,1,0,4,2,4,0.5,0,0,0.0,2,4,0.5,0.5,0,0,0.0,0,3,3,0,0,0,1,2,4
138,Derrick Favors,C,28,NOP,9,7,189,36,58,0.621,1,2,0.5,35,56,0.625,0.629,2,6,0.33299999999999996,31,49,80,19,5,4,14,21,75
139,Terrance Ferguson,SF,21,OKC,19,19,497,39,92,0.424,23,65,0.354,16,27,0.593,0.5489999999999999,7,9,0.778,11,25,36,19,10,6,14,57,108
140,Bruno Fernando,C,21,ATL,23,0,275,40,73,0.5479999999999999,4,15,0.267,36,58,0.621,0.575,13,22,0.591,27,39,66,24,5,9,21,36,97
141,Yogi Ferrell,PG,26,SAC,19,0,265,40,89,0.449,9,30,0.3,31,59,0.525,0.5,25,29,0.862,4,21,25,35,8,1,13,17,114
142,Dorian Finney-Smith,PF,26,DAL,23,20,618,73,155,0.47100000000000003,28,85,0.32899999999999996,45,70,0.643,0.561,24,34,0.706,43,73,116,25,14,10,24,43,198
143,Bryn Forbes,SG,26,SAS,23,23,619,105,251,0.418,55,152,0.36200000000000004,50,99,0.505,0.528,31,37,0.838,7,50,57,46,12,0,16,44,296
144,Evan Fournier,SG,27,ORL,23,23,707,159,329,0.483,64,143,0.44799999999999995,95,186,0.511,0.581,78,92,0.848,4,64,68,73,22,4,47,53,460
145,De'Aaron Fox,PG,22,SAC,9,9,288,55,128,0.43,10,30,0.33299999999999996,45,98,0.45899999999999996,0.469,44,62,0.71,5,31,36,63,7,5,37,27,164
146,Melvin Frazier,SG,23,ORL,4,0,11,1,6,0.16699999999999998,0,1,0.0,1,5,0.2,0.16699999999999998,0,0,0.0,1,0,1,1,0,0,0,1,2
147,Tim Frazier,PG,29,DET,13,4,138,9,42,0.214,3,14,0.214,6,28,0.214,0.25,11,14,0.7859999999999999,4,9,13,38,8,2,12,18,32
148,Markelle Fultz,PG,21,ORL,23,18,593,113,236,0.479,8,38,0.21100000000000002,105,198,0.53,0.496,42,53,0.792,10,53,63,94,29,4,42,49,276
149,Wenyen Gabriel,PF,22,SAC,7,0,47,5,16,0.313,1,8,0.125,4,8,0.5,0.344,5,9,0.556,4,4,8,3,2,2,3,6,16
150,Daniel Gafford,C,21,CHI,16,0,169,32,43,0.7440000000000001,0,0,0.0,32,43,0.7440000000000001,0.7440000000000001,10,21,0.47600000000000003,14,15,29,2,1,14,2,23,74
151,Danilo Gallinari,PF,31,OKC,22,22,668,123,276,0.446,60,149,0.40299999999999997,63,127,0.496,0.5539999999999999,96,105,0.914,12,114,126,46,15,3,31,35,402
152,Langston Galloway,SG,28,DET,24,6,662,96,213,0.451,61,142,0.43,35,71,0.493,0.594,45,50,0.9,9,42,51,37,14,7,19,30,298
153,Darius Garland,PG,20,CLE,23,23,648,95,253,0.375,37,103,0.359,58,150,0.387,0.449,23,27,0.852,8,34,42,65,16,0,57,33,250
154,Marc Gasol,C,35,TOR,23,23,662,49,144,0.34,27,77,0.35100000000000003,22,67,0.32799999999999996,0.434,19,24,0.792,17,129,146,81,15,27,31,77,144
155,Rudy Gay,PF,33,SAS,23,4,532,96,209,0.45899999999999996,20,73,0.27399999999999997,76,136,0.5589999999999999,0.507,48,54,0.889,31,105,136,44,10,13,38,34,260
156,Paul George,SF,29,LAC,14,14,416,108,242,0.446,57,136,0.419,51,106,0.48100000000000004,0.564,62,68,0.912,7,82,89,50,20,6,48,36,335
