Player,Control,Defense,Impact,Offense,Scoring
Cameron Johnson,1.2857142857142858,111.34243845882294,0.031014540771148645,115.07577424523619,0.45283008465478786
James Johnson,1.0,109.55547376848322,0.0037922857443813264,93.35166142825504,0.42693753891249664
Keldon Johnson,0.0,118.91918384193568,-0.00022154352520862403,0.0,0.0
Stanley Johnson,0.0,106.03565049446811,-0.000440439098332247,60.37387509192944,0.259549039392572
Tyler Johnson,2.1578947368421053,113.26208370693423,0.019026650898612465,101.05379895313918,0.4348952566090384
Nikola Jokić,2.3703703703703702,111.92028677164446,0.09332021928995536,107.40461735448888,0.4961447738483245
Damian Jones,1.1333333333333333,108.98927032634002,0.03445919523573418,136.72587837341246,0.6698052676997668
Derrick Jones,1.1666666666666667,109.83043877391006,0.006357655512639284,103.24242379825249,0.48707709990299164
Tyus Jones,3.7333333333333334,111.61015059639965,0.03619356345211503,98.05827292383695,0.45305728635325
DeAndre Jordan,1.9523809523809523,103.82580298255623,0.06306207088555751,137.2596958821653,0.6657948776858239
Cory Joseph,3.033333333333333,115.21398051141006,0.03171067120585341,98.34105134549404,0.4322018147835451
Mfiondu Kabengele,1.0,104.9415161966468,0.002998822327862271,112.311994873738,0.4429246133435798
Frank Kaminsky,2.0833333333333335,110.31245478992876,0.044322198336074134,107.66138405259605,0.4855936307255117
Enes Kanter,1.4166666666666667,111.53400826520526,0.0304444635737803,127.33745379663196,0.6228186910324722
Luke Kennard,2.909090909090909,113.70999649441355,0.06858910312171285,118.88615214820994,0.49576236089799974
Stanton Kidd,0.5,111.29006730144461,-0.0009239037608824286,12.353031941054473,0.05337075316449856
Michael Kidd-Gilchrist,1.5,111.33806037397586,0.0006825645474895883,86.04748691116463,0.3602542528914731
Maxi Kleber,1.4666666666666666,111.33492607910283,0.03815946212218104,121.34227053241524,0.49814116302921185
Brandon Knight,2.5,113.98814984100959,0.005213840613625217,97.26534386169459,0.38523886520895423
Kevin Knox,1.625,115.12672705299828,0.028210055895414216,104.55974405913898,0.4448441695321732
John Konchar,0.0,118.83193264449937,0.0,0.0,0.0
Furkan Korkmaz,1.1666666666666667,113.05032523668393,0.02659213749898907,103.94244409831907,0.42299095754877103
Luke Kornet,2.0,107.34762380519554,0.005698957196305688,92.84983009871563,0.39577589905226807
Kyle Korver,0.8823529411764706,108.25955248513723,0.012326918267480119,99.40190007414257,0.37080028799198794
Rodions Kurucs,0.08333333333333333,107.4270929756732,0.0005650723197630602,66.96277569973407,0.30160502378249626
Kyle Kuzma,0.4857142857142857,111.50480964037445,0.025980325947772755,95.06328584574385,0.41269180373447567
Skal Labissière,1.0833333333333333,105.60687841631089,0.03258023207712056,118.43368127036098,0.5677904093898382
Jeremy Lamb,1.8571428571428572,109.14528843784905,0.045145007579055305,109.82859676052459,0.5014003173067775
Romeo Langford,0.0,139.82029455721116,0.0,0.0,0.0
Zach LaVine,1.1764705882352942,108.32810114934414,0.08548435794458535,103.91430145118213,0.44849157279393637
